sample_1,sample_2,community_distance,ocean_distance_km,east_or_west_1,habitat_1,east_or_west_2,habitat_2,metric
S107,S34,0.8516352506917505,519.6711395993641,west,mangrove,east,coral,unifrac
S108,S34,0.8673274190419668,518.6711395993641,west,mangrove,east,coral,unifrac
S109,S34,0.796324540971447,518.256926036991,west,mangrove,east,coral,unifrac
S110,S34,0.8039309185993438,518.256926036991,west,mangrove,east,coral,unifrac
S36,S35,0.9507293738043568,119.82337649086296,east,mangrove,east,coral,unifrac
S37,S35,0.960920966480171,118.82337649086296,east,mangrove,east,coral,unifrac
S38,S35,0.9598845370468027,117.82337649086296,east,mangrove,east,coral,unifrac
S39,S35,0.9511976531328746,117.23759005323605,east,mangrove,east,coral,unifrac
S40,S35,0.9033573874724161,115.82337649086296,east,mangrove,east,coral,unifrac
S41,S35,0.5849267098234314,226.89444430272846,east,coral,east,coral,unifrac
S42,S35,0.5325635811284617,226.48023074035535,east,coral,east,coral,unifrac
S43,S35,0.6406122225511405,226.48023074035535,east,coral,east,coral,unifrac
S44,S35,0.5366591699657285,227.48023074035535,east,coral,east,coral,unifrac
S45,S35,0.5861193720642005,226.48023074035535,east,coral,east,coral,unifrac
S46,S35,0.8203592358530303,225.89444430272846,east,mangrove,east,coral,unifrac
S47,S35,0.8477120326210156,225.89444430272846,east,mangrove,east,coral,unifrac
S48,S35,0.7674678305171632,225.89444430272846,east,mangrove,east,coral,unifrac
S49,S35,0.8798044373742154,226.89444430272846,east,mangrove,east,coral,unifrac
S50,S35,0.7361414644935897,226.89444430272846,east,mangrove,east,coral,unifrac
S51,S35,0.7040921710342394,292.2375900532354,east,seagrass,east,coral,unifrac
S52,S35,0.6914562266866934,292.2375900532354,east,seagrass,east,coral,unifrac
S53,S35,0.7632205117068149,292.2375900532354,east,seagrass,east,coral,unifrac
S54,S35,0.7399652984056394,291.23759005323546,east,seagrass,east,coral,unifrac
S55,S35,0.7553993030976615,291.23759005323546,east,seagrass,east,coral,unifrac
S56,S35,0.6790477909030077,938.8153672641434,west,coral,east,coral,unifrac
S57,S35,0.6985906757618192,938.8153672641434,west,coral,east,coral,unifrac
S58,S35,0.7466845852500326,939.4011537017702,west,coral,east,coral,unifrac
S59,S35,0.7120654325411934,938.4011537017702,west,coral,east,coral,unifrac
S60,S35,0.7664959936329102,938.8153672641434,west,coral,east,coral,unifrac
S61,S35,0.7264934988632028,928.8153672641436,west,mangrove,east,coral,unifrac
S62,S35,0.7416583371815962,928.8153672641436,west,mangrove,east,coral,unifrac
S63,S35,0.7938148169926347,927.8153672641436,west,mangrove,east,coral,unifrac
S64,S35,0.7526298849669455,928.2295808265167,west,mangrove,east,coral,unifrac
S65,S35,0.7504942039016907,927.8153672641436,west,mangrove,east,coral,unifrac
S66,S35,0.7195863018762788,916.4600282048162,west,seagrass,east,coral,unifrac
S67,S35,0.7300619448386294,916.4600282048162,west,seagrass,east,coral,unifrac
S68,S35,0.7644486666521375,916.4600282048162,west,seagrass,east,coral,unifrac
S69,S35,0.7820646487649112,916.4600282048162,west,seagrass,east,coral,unifrac
S70,S35,0.7802254596695263,917.4600282048162,west,seagrass,east,coral,unifrac
S71,S35,0.9527066923732997,442.11984104714276,east,coral,east,coral,unifrac
S73,S35,0.9213178758120595,442.11984104714276,east,coral,east,coral,unifrac
S74,S35,0.7705532123160681,442.11984104714276,east,coral,east,coral,unifrac
S75,S35,0.7764402176418149,442.11984104714276,east,coral,east,coral,unifrac
S77,S35,0.5769493941733941,418.6345596729042,east,coral,east,coral,unifrac
S78,S35,0.5979156674761638,418.6345596729042,east,coral,east,coral,unifrac
S80,S35,0.7884574557005222,418.6345596729042,east,coral,east,coral,unifrac
S81,S35,0.7292119319270316,413.0193359837545,east,mangrove,east,coral,unifrac
S82,S35,0.7852470524652981,413.0193359837545,east,mangrove,east,coral,unifrac
S83,S35,0.7692457101266243,413.0193359837545,east,mangrove,east,coral,unifrac
S84,S35,0.7559070102945191,413.0193359837545,east,mangrove,east,coral,unifrac
S85,S35,0.7366386590394272,413.0193359837545,east,mangrove,east,coral,unifrac
S86,S35,0.7396313868278511,842.9919907732806,west,mangrove,east,coral,unifrac
S87,S35,0.7830053889369611,842.9919907732806,west,mangrove,east,coral,unifrac
S88,S35,0.8512996291879471,842.5777772109076,west,mangrove,east,coral,unifrac
S89,S35,0.8372047929412063,842.5777772109076,west,mangrove,east,coral,unifrac
S90,S35,0.8974259298307582,842.5777772109076,west,mangrove,east,coral,unifrac
S91,S35,0.708640790249856,826.6488450227733,west,seagrass,east,coral,unifrac
S92,S35,0.6758170304135229,827.6488450227733,west,seagrass,east,coral,unifrac
S93,S35,0.6457478951099694,827.6488450227733,west,seagrass,east,coral,unifrac
S94,S35,0.6968163322896701,826.6488450227733,west,seagrass,east,coral,unifrac
S95,S35,0.6847409097094117,826.6488450227733,west,seagrass,east,coral,unifrac
S96,S35,0.8563984216970448,750.2224381515819,west,mangrove,east,coral,unifrac
S97,S35,0.8341595116656311,750.2224381515819,west,mangrove,east,coral,unifrac
S98,S35,0.8487319213552726,750.2224381515819,west,mangrove,east,coral,unifrac
S99,S35,0.8446258793566,750.2224381515819,west,mangrove,east,coral,unifrac
S100,S35,0.8362858805349707,751.2224381515819,west,mangrove,east,coral,unifrac
S101,S35,0.8119714818689946,684.4650788387021,west,coral,east,coral,unifrac
S102,S35,0.8034333119230579,685.7077195258214,west,coral,east,coral,unifrac
S103,S35,0.7929370772108956,686.1219330881945,west,coral,east,coral,unifrac
S104,S35,0.7789086402666194,687.7077195258213,west,coral,east,coral,unifrac
S105,S35,0.6555577373122121,685.8792924010751,west,coral,east,coral,unifrac
S106,S35,0.7703687825131585,520.0853531617372,west,mangrove,east,coral,unifrac
S107,S35,0.7255353009197342,519.6711395993641,west,mangrove,east,coral,unifrac
S108,S35,0.7753941416453254,518.6711395993641,west,mangrove,east,coral,unifrac
S109,S35,0.8144167242342564,518.256926036991,west,mangrove,east,coral,unifrac
S110,S35,0.7464714047508737,518.256926036991,west,mangrove,east,coral,unifrac
S37,S36,0.6979612411488908,1,east,mangrove,east,mangrove,unifrac
S38,S36,0.3643620628997932,2,east,mangrove,east,mangrove,unifrac
S39,S36,0.7401272419947132,3.414213562373095,east,mangrove,east,mangrove,unifrac
S40,S36,0.5402645530640788,4,east,mangrove,east,mangrove,unifrac
S41,S36,0.9185877765996274,107.07106781186548,east,coral,east,mangrove,unifrac
S42,S36,0.9520680492430124,106.65685424949237,east,coral,east,mangrove,unifrac
S43,S36,0.9466267448763946,106.65685424949237,east,coral,east,mangrove,unifrac
S44,S36,0.9565054926501239,107.65685424949237,east,coral,east,mangrove,unifrac
S45,S36,0.9532244766649502,106.65685424949237,east,coral,east,mangrove,unifrac
S46,S36,0.9109875575504426,106.07106781186548,east,mangrove,east,mangrove,unifrac
S47,S36,0.8409184788800224,106.07106781186548,east,mangrove,east,mangrove,unifrac
S48,S36,0.9235688383964397,106.07106781186548,east,mangrove,east,mangrove,unifrac
S49,S36,0.8914496430600592,107.07106781186548,east,mangrove,east,mangrove,unifrac
S50,S36,0.8869206523316843,107.07106781186548,east,mangrove,east,mangrove,unifrac
S51,S36,0.9279476546424172,172.4142135623731,east,seagrass,east,mangrove,unifrac
S52,S36,0.9481652319275515,172.4142135623731,east,seagrass,east,mangrove,unifrac
S53,S36,0.9509807397061907,172.4142135623731,east,seagrass,east,mangrove,unifrac
S54,S36,0.9384579095435671,171.4142135623731,east,seagrass,east,mangrove,unifrac
S55,S36,0.9464447610296769,171.4142135623731,east,seagrass,east,mangrove,unifrac
S56,S36,0.9585311124223835,818.9919907732823,west,coral,east,mangrove,unifrac
S57,S36,0.9588450121232168,818.9919907732823,west,coral,east,mangrove,unifrac
S58,S36,0.9698242669321664,819.5777772109091,west,coral,east,mangrove,unifrac
S59,S36,0.9703458207413835,818.5777772109091,west,coral,east,mangrove,unifrac
S60,S36,0.9572339281360651,818.9919907732823,west,coral,east,mangrove,unifrac
S61,S36,0.945132067414313,808.9919907732824,west,mangrove,east,mangrove,unifrac
S62,S36,0.9592083339644862,808.9919907732824,west,mangrove,east,mangrove,unifrac
S63,S36,0.9445574433920391,807.9919907732824,west,mangrove,east,mangrove,unifrac
S64,S36,0.9512619175910262,808.4062043356554,west,mangrove,east,mangrove,unifrac
S65,S36,0.9517414203149787,807.9919907732824,west,mangrove,east,mangrove,unifrac
S66,S36,0.927995852950456,796.6366517139551,west,seagrass,east,mangrove,unifrac
S67,S36,0.9411259801816857,796.6366517139551,west,seagrass,east,mangrove,unifrac
S68,S36,0.9479273570078688,796.6366517139551,west,seagrass,east,mangrove,unifrac
S69,S36,0.9548693066479181,796.6366517139551,west,seagrass,east,mangrove,unifrac
