model,sample_name,group,dispersion
habitat,S56,Coral,0.4561600744149129
habitat,S57,Coral,0.4572184573931202
habitat,S58,Coral,0.48756746915502996
habitat,S59,Coral,0.48735041960551645
habitat,S60,Coral,0.529101749104492
habitat,S61,Mangrove,0.41490148749876027
habitat,S62,Mangrove,0.46224374256004885
habitat,S63,Mangrove,0.43124308613648743
habitat,S64,Mangrove,0.42623171571969404
habitat,S65,Mangrove,0.4229151526803898
habitat,S66,Seagrass,0.4545317438971502
habitat,S67,Seagrass,0.3777300306677896
habitat,S68,Seagrass,0.3956842200344391
habitat,S69,Seagrass,0.46014089263089
habitat,S70,Seagrass,0.4559657128522475
habitat,S71,Coral,0.7880033110399185
habitat,S73,Coral,0.7673387106356797
habitat,S74,Coral,0.6517064100508131
habitat,S75,Coral,0.6306578849093858
habitat,S77,Coral,0.5078197714200715
habitat,S78,Coral,0.5019449482631417
habitat,S80,Coral,0.6386264679503618
habitat,S81,Mangrove,0.4622186585501008
habitat,S82,Mangrove,0.5169840442372883
habitat,S83,Mangrove,0.48565600758894717
habitat,S84,Mangrove,0.4791918192243146
habitat,S85,Mangrove,0.49480259723069847
habitat,S86,Mangrove,0.4797712887392978
habitat,S87,Mangrove,0.49601656423431295
habitat,S88,Mangrove,0.5691495072820508
habitat,S89,Mangrove,0.6010075589620698
habitat,S90,Mangrove,0.6416374315244453
habitat,S91,Seagrass,0.3968418037699716
habitat,S92,Seagrass,0.3716452821987546
habitat,S93,Seagrass,0.4741917742578734
habitat,S94,Seagrass,0.5496511902987293
habitat,S95,Seagrass,0.4145285589979288
habitat,S96,Mangrove,0.5368232764433299
habitat,S97,Mangrove,0.5006216970511069
habitat,S98,Mangrove,0.5091925587666345
habitat,S99,Mangrove,0.5166953936412331
habitat,S100,Mangrove,0.521821283971054
habitat,S101,Coral,0.5928192859627369
habitat,S102,Coral,0.620686874894207
habitat,S103,Coral,0.6322164514269806
habitat,S104,Coral,0.5747012530567345
habitat,S105,Coral,0.5299917692175151
habitat,S106,Mangrove,0.4447026116364625
habitat,S107,Mangrove,0.49022683403752565
habitat,S108,Mangrove,0.5169082869845799
habitat,S109,Mangrove,0.5469987324482076
habitat,S110,Mangrove,0.5459489553399804
site_code,S1,Man_Kukup,0.24678772848941513
site_code,S2,Man_Kukup,0.2431870294286469
site_code,S3,Man_Kukup,0.23343913503657418
site_code,S4,Man_Kukup,0.22952774972088733
site_code,S5,Man_Kukup,0.2669224013812973
site_code,S6,Man_Batu_Pahat,0.1745345354903236
site_code,S7,Man_Batu_Pahat,0.28461045035362953
site_code,S8,Man_Batu_Pahat,0.32792607180645317
site_code,S9,Man_Batu_Pahat,0.29702978202307107
site_code,S10,Man_Batu_Pahat,0.26548703526209066
site_code,S11,Man_PPAF,0.23729641260475473
site_code,S12,Man_PPAF,0.2427498114475828
site_code,S13,Man_PPAF,0.22722957698854301
site_code,S14,Man_PPAF,0.20635175087333466
site_code,S15,Man_PPAF,0.2457798999630142
site_code,S16,Cor_ PB_PP,0.2260175176027467
site_code,S17,Cor_ PB_PP,0.20690884833816311
site_code,S18,Cor_ PB_PP,0.17774095559339298
site_code,S19,Cor_ PB_PP,0.2630460656807376
site_code,S20,Cor_ PB_PP,0.18567851302373434
site_code,S21,Man_Pulau_Tinggi,0.6667850750162194
site_code,S22,Man_Pulau_Tinggi,0.38960011351120727
site_code,S23,Man_Pulau_Tinggi,0.29260743266534056
site_code,S24,Man_Pulau_Tinggi,0.2711202057706742
site_code,S25,Man_Pulau_Tinggi,0.4103276459241975
site_code,S26,SeG_PulauTinggi,0.35269870146926613
site_code,S27,SeG_PulauTinggi,0.3069383460463487
site_code,S28,SeG_PulauTinggi,0.3636608903996435
site_code,S29,SeG_PulauTinggi,0.6930859327647989
site_code,S30,SeG_PulauTinggi,0.19732750668477955
site_code,S31,Cor_Pulau_Tinggi,0.3430336605886593
site_code,S32,Cor_Pulau_Tinggi,0.2695983515404683
site_code,S33,Cor_Pulau_Tinggi,0.2653223219382432
site_code,S34,Cor_Pulau_Tinggi,0.4525279065233704
site_code,S35,Cor_Pulau_Tinggi,0.4358528068323397
site_code,S36,Man_Nenasi,0.31636280125777955
site_code,S37,Man_Nenasi,0.4821819502821231
site_code,S38,Man_Nenasi,0.26538697252406734
site_code,S39,Man_Nenasi,0.5163568710659489
site_code,S40,Man_Nenasi,0.38938226123567105
site_code,S41,Cor_Pulau_Ular,0.313180930350851
site_code,S42,Cor_Pulau_Ular,0.3117609172259015
site_code,S43,Cor_Pulau_Ular,0.46677209568154115
site_code,S44,Cor_Pulau_Ular,0.2919985555678134
site_code,S45,Cor_Pulau_Ular,0.30157846612460004
site_code,S46,Man_Sungai_Ular,0.35080403991545483
site_code,S47,Man_Sungai_Ular,0.4195995771038731
site_code,S48,Man_Sungai_Ular,0.3727412138603622
site_code,S49,Man_Sungai_Ular,0.5890361927608629
site_code,S50,Man_Sungai_Ular,0.3690130488527587
site_code,S51,ManSeG_Paka,0.38771190710470815
site_code,S52,ManSeG_Paka,0.3295578095770796
site_code,S53,ManSeG_Paka,0.22957416782458223
site_code,S54,ManSeG_Paka,0.214142334659562
site_code,S55,ManSeG_Paka,0.251982363299477
site_code,S56,Cor_Pulau_Intan,0.3131270396789671
site_code,S57,Cor_Pulau_Intan,0.27252796774081733
site_code,S58,Cor_Pulau_Intan,0.20576134887794878
site_code,S59,Cor_Pulau_Intan,0.23539501150581238
site_code,S60,Cor_Pulau_Intan,0.25325684310115343
site_code,S61,Man_Selat_Nyior,0.2004473416087573
site_code,S62,Man_Selat_Nyior,0.27651927563090245
site_code,S63,Man_Selat_Nyior,0.27424772506051776
site_code,S64,Man_Selat_Nyior,0.18513959707038025
site_code,S65,Man_Selat_Nyior,0.1782129173590453
site_code,S66,SeG_Tanjung_Rhu,0.39354542334476794
site_code,S67,SeG_Tanjung_Rhu,0.2540965385774936
site_code,S68,SeG_Tanjung_Rhu,0.18455922200935482
site_code,S69,SeG_Tanjung_Rhu,0.29484122271351
site_code,S70,SeG_Tanjung_Rhu,0.2822865246785179
site_code,S71,Cor_Pulau_Redang,0.7679674244338974
site_code,S73,Cor_Pulau_Redang,0.521808807616639
site_code,S74,Cor_Pulau_Redang,0.30981125745016036
site_code,S75,Cor_Pulau_Redang,0.3352396645532138
site_code,S77,Cor_Pulau_Bidong,0.21372005442696973
site_code,S78,Cor_Pulau_Bidong,0.3617247212843227
site_code,S80,Cor_Pulau_Bidong,0.45765525607591356
site_code,S81,Man_Merang,0.22722091994630345
site_code,S82,Man_Merang,0.272065804567557
site_code,S83,Man_Merang,0.21708346973010303
site_code,S84,Man_Merang,0.20237092736065793
