sample_id,latitude,longitude,habitat,east_or_west,site_code,protected_area,control,BO22_tempmean_ss,BO22_temprange_ss,BO22_salinitymean_ss,BO22_salinityrange_ss,BO22_chlomean_ss,BO22_chlorange_ss,BO22_nitratemean_ss,BO22_phosphatemean_ss,BO22_dissoxmean_ss,BO22_ph,BO22_parmean,env_missing
55,4.644799,103.436867,Seagrass,East,ManSeG_Paka,N,NA,28.888735,4.027735,31.357877,2.545703,0.215832,0.267691,0.012395,0.04257,201.577455,8.026000022888184,44.40800094604492,FALSE
56,6.231933,99.71668,Coral,West,Cor_Pulau_Intan,N,NA,29.784487,3.546232,31.793597,3.407893,0.131388,0.148388,0.014809,0.05064,197.872289,8.217000007629395,43.9010009765625,FALSE
57,6.235042,99.713494,Coral,West,Cor_Pulau_Intan,N,NA,29.784487,3.546232,31.793597,3.407893,0.131388,0.148388,0.014809,0.05064,197.872289,8.217000007629395,43.9010009765625,FALSE
58,6.241277,99.713092,Coral,West,Cor_Pulau_Intan,N,NA,29.784487,3.546232,31.793597,3.407893,0.131388,0.148388,0.014809,0.05064,197.872289,8.217000007629395,43.9010009765625,FALSE
59,6.242925,99.71689,Coral,West,Cor_Pulau_Intan,N,NA,29.784487,3.546232,31.793597,3.407893,0.131388,0.148388,0.014809,0.05064,197.872289,8.217000007629395,43.9010009765625,FALSE
60,6.239442,99.719555,Coral,West,Cor_Pulau_Intan,N,NA,29.784487,3.546232,31.793597,3.407893,0.131388,0.148388,0.014809,0.05064,197.872289,8.217000007629395,43.9010009765625,FALSE
61,6.217682,99.829402,Mangrove,West,Man_Selat_Nyior,N,NA,29.78322,3.592682,31.74593,3.485985,0.146567,0.175396,0.019372,0.048647,197.841597,8.220999717712402,44.46500015258789,FALSE
62,6.220929,99.825029,Mangrove,West,Man_Selat_Nyior,N,NA,29.78322,3.592682,31.74593,3.485985,0.146567,0.175396,0.019372,0.048647,197.841597,8.220999717712402,44.46500015258789,FALSE
63,6.224728,99.821968,Mangrove,West,Man_Selat_Nyior,N,NA,29.78322,3.592682,31.74593,3.485985,0.146567,0.175396,0.019372,0.048647,197.841597,8.220999717712402,44.46500015258789,FALSE
64,6.228636,99.820188,Mangrove,West,Man_Selat_Nyior,N,NA,29.78322,3.592682,31.74593,3.485985,0.146567,0.175396,0.019372,0.048647,197.841597,8.220999717712402,44.46500015258789,FALSE
65,6.235251,99.818035,Mangrove,West,Man_Selat_Nyior,N,NA,29.78322,3.592682,31.74593,3.485985,0.146567,0.175396,0.019372,0.048647,197.841597,8.220999717712402,44.46500015258789,FALSE
66,6.460722,99.827135,Seagrass,West,SeG_Tanjung_Rhu,N,NA,29.745621,3.786837,31.682629,3.639907,0.161727,0.180158,0.018072,0.050539,197.594297,8.227999687194824,44.28799819946289,FALSE
67,6.460835,99.825327,Seagrass,West,SeG_Tanjung_Rhu,N,NA,29.745621,3.786837,31.682629,3.639907,0.161727,0.180158,0.018072,0.050539,197.594297,8.227999687194824,44.28799819946289,FALSE
68,6.461043,99.823702,Seagrass,West,SeG_Tanjung_Rhu,N,NA,29.745621,3.786837,31.682629,3.639907,0.161727,0.180158,0.018072,0.050539,197.594297,8.227999687194824,44.28799819946289,FALSE
69,6.461208,99.823448,Seagrass,West,SeG_Tanjung_Rhu,N,NA,29.745621,3.786837,31.682629,3.639907,0.161727,0.180158,0.018072,0.050539,197.594297,8.227999687194824,44.28799819946289,FALSE
70,6.461547,99.819962,Seagrass,West,SeG_Tanjung_Rhu,N,NA,29.745621,3.786837,31.682629,3.639907,0.161727,0.180158,0.018072,0.050539,197.594297,8.227999687194824,44.28799819946289,FALSE
71,5.814393,103.009382,Coral,East,Cor_Pulau_Redang,Y,NA,29.204514,4.065586,30.527526,4.030961,0.189709,0.263691,0.020324,0.028974,201.206687,8.093000411987305,43.625,FALSE
73,5.816677,103.007751,Coral,East,Cor_Pulau_Redang,Y,NA,29.204514,4.065586,30.527526,4.030961,0.189709,0.263691,0.020324,0.028974,201.206687,8.093000411987305,43.625,FALSE
74,5.816281,103.005989,Coral,East,Cor_Pulau_Redang,Y,NA,29.204514,4.065586,30.527526,4.030961,0.189709,0.263691,0.020324,0.028974,201.206687,8.093000411987305,43.625,FALSE
75,5.814536,103.006378,Coral,East,Cor_Pulau_Redang,Y,NA,29.204514,4.065586,30.527526,4.030961,0.189709,0.263691,0.020324,0.028974,201.206687,8.093000411987305,43.625,FALSE
77,5.624215,103.056647,Coral,East,Cor_Pulau_Bidong,N,NA,29.179352,4.008957,30.629362,3.80157,0.191967,0.256079,0.022708,0.030364,201.283812,8.0839996337890625,43.909000396728516,FALSE
78,5.625977,103.057468,Coral,East,Cor_Pulau_Bidong,N,NA,29.179352,4.008957,30.629362,3.80157,0.191967,0.256079,0.022708,0.030364,201.283812,8.0839996337890625,43.909000396728516,FALSE
80,5.627685,103.059864,Coral,East,Cor_Pulau_Bidong,N,NA,29.179352,4.008957,30.629362,3.80157,0.191967,0.256079,0.022708,0.030364,201.283812,8.0839996337890625,43.909000396728516,FALSE
81,5.527989,102.944516,Mangrove,East,Man_Merang,N,NA,29.2034,3.968271,30.496283,4.015471,0.207327,0.264745,0.029275,0.029974,201.344623,8.067000389099121,43.926998138427734,FALSE
82,5.526065,102.943286,Mangrove,East,Man_Merang,N,NA,29.2034,3.968271,30.496283,4.015471,0.207327,0.264745,0.029275,0.029974,201.344623,8.067000389099121,43.926998138427734,FALSE
83,5.526248,102.941049,Mangrove,East,Man_Merang,N,NA,29.2034,3.968271,30.496283,4.015471,0.207327,0.264745,0.029275,0.029974,201.344623,8.067000389099121,43.926998138427734,FALSE
84,5.528314,102.940522,Mangrove,East,Man_Merang,N,NA,29.2034,3.968271,30.496283,4.015471,0.207327,0.264745,0.029275,0.029974,201.344623,8.067000389099121,43.926998138427734,FALSE
85,5.528731,102.938759,Mangrove,East,Man_Merang,N,NA,29.2034,3.968271,30.496283,4.015471,0.207327,0.264745,0.029275,0.029974,201.344623,8.067000389099121,43.926998138427734,FALSE
86,5.517253,100.364968,Mangrove,West,Man_Penaga,N,NA,29.843477,3.065662,31.495632,3.7802,0.309601,0.502881,0.21746,0.03112,199.735517,8.234999656677246,46.06999969482422,FALSE
87,5.51815,100.366985,Mangrove,West,Man_Penaga,N,NA,29.843477,3.065662,31.495632,3.7802,0.309601,0.502881,0.21746,0.03112,199.735517,8.234999656677246,46.06999969482422,FALSE
88,5.519453,100.369366,Mangrove,West,Man_Penaga,N,NA,29.843477,3.065662,31.495632,3.7802,0.309601,0.502881,0.21746,0.03112,199.735517,8.234999656677246,46.06999969482422,FALSE
89,5.520585,100.371383,Mangrove,West,Man_Penaga,N,NA,29.843477,3.065662,31.495632,3.7802,0.309601,0.502881,0.21746,0.03112,199.735517,8.234999656677246,46.06999969482422,FALSE
90,5.522977,100.372478,Mangrove,West,Man_Penaga,N,NA,29.843477,3.065662,31.495632,3.7802,0.309601,0.502881,0.21746,0.03112,199.735517,8.234999656677246,46.06999969482422,FALSE
91,5.363009,100.324704,Seagrass,West,SeG_Pulau_Kezambo,N,NA,29.882948,2.66,31.331288,3.671192,0.203405,0.306638,0.174058,0.02989,199.039406,8.2089996337890625,45.65299987792969,TRUE
92,5.364814,100.324618,Seagrass,West,SeG_Pulau_Kezambo,N,NA,29.882948,2.66,31.331288,3.671192,0.203405,0.306638,0.174058,0.02989,199.039406,8.2089996337890625,45.65299987792969,TRUE
93,5.365017,100.326968,Seagrass,West,SeG_Pulau_Kezambo,N,NA,29.882948,2.66,31.331288,3.671192,0.203405,0.306638,0.174058,0.02989,199.039406,8.2089996337890625,45.65299987792969,TRUE
94,5.36303,100.327461,Seagrass,West,SeG_Pulau_Kezambo,N,NA,29.882948,2.66,31.331288,3.671192,0.203405,0.306638,0.174058,0.02989,199.039406,8.2089996337890625,45.65299987792969,TRUE
95,5.361535,100.325841,Seagrass,West,SeG_Pulau_Kezambo,N,NA,29.882948,2.66,31.331288,3.671192,0.203405,0.306638,0.174058,0.02989,199.039406,8.2089996337890625,45.65299987792969,TRUE
96,4.78359,100.607457,Mangrove,West,Man_Kuala_Sepetang,N,NA,29.839277,2.392063,30.194898,5.08819,0.284639,0.426225,0.479684,0.015853,199.339419,8.204999923706055,45.87200164794922,FALSE
97,4.787012,100.612692,Mangrove,West,Man_Kuala_Sepetang,N,NA,29.839277,2.392063,30.194898,5.08819,0.284639,0.426225,0.479684,0.015853,199.339419,8.204999923706055,45.87200164794922,FALSE
98,4.788979,100.618615,Mangrove,West,Man_Kuala_Sepetang,N,NA,29.839277,2.392063,30.194898,5.08819,0.284639,0.426225,0.479684,0.015853,199.339419,8.204999923706055,45.87200164794922,FALSE
99,4.791801,100.624022,Mangrove,West,Man_Kuala_Sepetang,N,NA,29.839277,2.392063,30.194898,5.08819,0.284639,0.426225,0.479684,0.015853,199.339419,8.204999923706055,45.87200164794922,FALSE
100,4.797275,100.62634,Mangrove,West,Man_Kuala_Sepetang,N,NA,29.839277,2.392063,30.194898,5.08819,0.284639,0.426225,0.479684,0.015853,199.339419,8.204999923706055,45.87200164794922,FALSE
101,4.190014,100.572274,Coral,West,Cor_Pulau_Pangkor,N,NA,29.700733,2.285265,30.716178,4.24309,0.287891,0.447905,0.622962,0.007953,199.177122,8.145999908447266,45.9379997253418,FALSE
102,4.187189,100.543949,Coral,West,Cor_Pulau_Pangkor,N,NA,29.700733,2.285265,30.716178,4.24309,0.287891,0.447905,0.622962,0.007953,199.177122,8.145999908447266,45.9379997253418,FALSE
103,4.192025,100.537855,Coral,West,Cor_Pulau_Pangkor,N,NA,29.700733,2.285265,30.716178,4.24309,0.287891,0.447905,0.622962,0.007953,199.177122,8.145999908447266,45.9379997253418,FALSE
104,4.203476,100.545476,Coral,West,Cor_Pulau_Pangkor,N,NA,29.700733,2.285265,30.716178,4.24309,0.287891,0.447905,0.622962,0.007953,199.177122,8.145999908447266,45.9379997253418,FALSE
105,4.194839,100.559803,Coral,West,Cor_Pulau_Pangkor,N,NA,29.700733,2.285265,30.716178,4.24309,0.287891,0.447905,0.622962,0.007953,199.177122,8.145999908447266,45.9379997253418,FALSE
106,3.024487,101.320359,Mangrove,West,Man_Pulau_Ketam,N,NA,29.583025,2.425541,29.659961,4.45125,0.13688,0.214029,0.824943,0.0018600000000000001,198.367976,7.932000160217285,44.112998962402344,FALSE
107,3.021921,101.326184,Mangrove,West,Man_Pulau_Ketam,N,NA,29.583025,2.425541,29.659961,4.45125,0.13688,0.214029,0.824943,0.0018600000000000001,198.367976,7.932000160217285,44.112998962402344,FALSE
108,3.014735,101.325529,Mangrove,West,Man_Pulau_Ketam,N,NA,29.583025,2.425541,29.659961,4.45125,0.13688,0.214029,0.824943,0.0018600000000000001,198.367976,7.932000160217285,44.112998962402344,FALSE
109,3.016972,101.333548,Mangrove,West,Man_Pulau_Ketam,N,NA,29.580093,2.432478,29.669889,4.477761,0.133032,0.218364,0.825916,0.001944,198.367361,7.927999973297119,42.957000732421875,FALSE
110,3.01341,101.336968,Mangrove,West,Man_Pulau_Ketam,N,NA,29.580093,2.432478,29.669889,4.477761,0.133032,0.218364,0.825916,0.001944,198.367361,7.927999973297119,42.957000732421875,FALSE
