sample_1,sample_2,distance,pair_id,original_sample_id_1,habitat_1,coast_1,site_1,latitude_1,longitude_1,original_sample_id_2,habitat_2,coast_2,site_2,latitude_2,longitude_2,same_habitat,same_coast,same_site,pair_category
S1,S41,0.7468349157440441,S1__S41,1,Mangrove,West,Man_Kukup,1.334569,103.430838,41,Coral,East,Cor_Pulau_Ular,4.053491,103.404452,FALSE,FALSE,FALSE,Different habitat / different coast
S1,S42,0.6584201704537612,S1__S42,1,Mangrove,West,Man_Kukup,1.334569,103.430838,42,Coral,East,Cor_Pulau_Ular,4.054416,103.409527,FALSE,FALSE,FALSE,Different habitat / different coast
S1,S43,0.781678627018311,S1__S43,1,Mangrove,West,Man_Kukup,1.334569,103.430838,43,Coral,East,Cor_Pulau_Ular,4.057277,103.409519,FALSE,FALSE,FALSE,Different habitat / different coast
S1,S44,0.6333330067455518,S1__S44,1,Mangrove,West,Man_Kukup,1.334569,103.430838,44,Coral,East,Cor_Pulau_Ular,4.058469,103.407966,FALSE,FALSE,FALSE,Different habitat / different coast
S1,S45,0.7206163949067709,S1__S45,1,Mangrove,West,Man_Kukup,1.334569,103.430838,45,Coral,East,Cor_Pulau_Ular,4.05599,103.405705,FALSE,FALSE,FALSE,Different habitat / different coast
S1,S46,0.7072147392807139,S1__S46,1,Mangrove,West,Man_Kukup,1.334569,103.430838,46,Mangrove,East,Man_Sungai_Ular,4.04739,103.39389,TRUE,FALSE,FALSE,Same habitat / different coast
S1,S47,0.8371981557980931,S1__S47,1,Mangrove,West,Man_Kukup,1.334569,103.430838,47,Mangrove,East,Man_Sungai_Ular,4.047681,103.395217,TRUE,FALSE,FALSE,Same habitat / different coast
S1,S48,0.6659684569328448,S1__S48,1,Mangrove,West,Man_Kukup,1.334569,103.430838,48,Mangrove,East,Man_Sungai_Ular,4.048489,103.395758,TRUE,FALSE,FALSE,Same habitat / different coast
S1,S49,0.9121419809555665,S1__S49,1,Mangrove,West,Man_Kukup,1.334569,103.430838,49,Mangrove,East,Man_Sungai_Ular,4.04984,103.395527,TRUE,FALSE,FALSE,Same habitat / different coast
S1,S50,0.7994547419776007,S1__S50,1,Mangrove,West,Man_Kukup,1.334569,103.430838,50,Mangrove,East,Man_Sungai_Ular,4.050552,103.395166,TRUE,FALSE,FALSE,Same habitat / different coast
